target_variable,target_class,target_class_label,layer,name,importance,explainer
Erlotinib,0,,rna,AVPI1,0.0008412744490230706,IntegratedGradients
Erlotinib,0,,rna,HRH1,0.0013026805690563013,IntegratedGradients
Erlotinib,0,,rna,GPC1,0.0005775179775082792,IntegratedGradients
Erlotinib,0,,rna,CARD10,0.0004954718560176609,IntegratedGradients
Erlotinib,0,,rna,CHRNA3,0.00018928683027440857,IntegratedGradients
Erlotinib,0,,rna,TMC5,0.0004029226685039768,IntegratedGradients
Erlotinib,0,,rna,TM4SF1,0.0005640256088466338,IntegratedGradients
Erlotinib,0,,rna,HGD,0.0008393081648512973,IntegratedGradients
Erlotinib,0,,rna,POU2AF1,0.0014168342234748684,IntegratedGradients
Erlotinib,0,,rna,KRT7,0.0008568350994441507,IntegratedGradients
Erlotinib,0,,rna,IL10RA,0.0006275823949502818,IntegratedGradients
Erlotinib,0,,rna,RAC2,0.0006042619907378832,IntegratedGradients
Erlotinib,0,,rna,TENT5C,0.0005511503309291231,IntegratedGradients
Erlotinib,0,,rna,TAX1BP3,0.00035039812445803353,IntegratedGradients
Erlotinib,0,,rna,PTPRK,0.00045336654817171204,IntegratedGradients
Erlotinib,0,,rna,MYO5C,0.0004077308315879728,IntegratedGradients
Erlotinib,0,,rna,EPS8L1,0.000489898237672909,IntegratedGradients
Erlotinib,0,,rna,GNA11,0.0005205674628995226,IntegratedGradients
Erlotinib,0,,rna,IL13RA1,0.0004060127417354909,IntegratedGradients
Erlotinib,0,,rna,ARID5A,0.0005609624914087198,IntegratedGradients
Erlotinib,0,,rna,RBMS2,0.0009746966193125403,IntegratedGradients
Erlotinib,0,,rna,DDAH1,0.0004388397586500825,IntegratedGradients
Erlotinib,0,,rna,FUT2,0.0005378175952291091,IntegratedGradients
Erlotinib,0,,rna,NSG2,0.00021524713195123326,IntegratedGradients
Erlotinib,0,,rna,IL18,0.0008537136461784385,IntegratedGradients
Erlotinib,0,,rna,UPP1,0.0008064906617466687,IntegratedGradients
Erlotinib,0,,rna,PRSS22,0.0004922286842539259,IntegratedGradients
Erlotinib,0,,rna,OVOL1,0.0004143148421487837,IntegratedGradients
Erlotinib,0,,rna,ARHGDIB,0.0005836310947400099,IntegratedGradients
Erlotinib,0,,rna,KIF1A,0.0009430223584625504,IntegratedGradients
Erlotinib,0,,rna,SCN3B,0.0007766581861826344,IntegratedGradients
Erlotinib,0,,rna,GRB7,0.0005672533758174994,IntegratedGradients
Erlotinib,0,,rna,KIAA1324,0.0005318699433968291,IntegratedGradients
Erlotinib,0,,rna,MVP,0.0011450678379311735,IntegratedGradients
Erlotinib,0,,rna,SSBP2,0.0005055377873846249,IntegratedGradients
Erlotinib,0,,rna,COL4A1,0.0006830021133714399,IntegratedGradients
Erlotinib,0,,rna,NFE2,0.00025481633153651774,IntegratedGradients
Erlotinib,0,,rna,RNF43,0.0003648936181281747,IntegratedGradients
Erlotinib,0,,rna,LCK,0.00043396294155787824,IntegratedGradients
Erlotinib,0,,rna,SEMA4G,0.00045682114048855075,IntegratedGradients
Erlotinib,0,,rna,DCN,0.00034639846069234407,IntegratedGradients
Erlotinib,0,,rna,ATP8B4,0.0003557736587569721,IntegratedGradients
Erlotinib,0,,rna,ASCL2,0.0003953323214939633,IntegratedGradients
Erlotinib,0,,rna,LEF1,0.0005084236124540956,IntegratedGradients
Erlotinib,0,,rna,ENAH,0.0005124281429928775,IntegratedGradients
Erlotinib,0,,rna,CDX2,0.0003198965399452308,IntegratedGradients
Erlotinib,0,,rna,ELF1,0.000625170267294956,IntegratedGradients
Erlotinib,0,,rna,SRPX,0.00040967028532745605,IntegratedGradients
Erlotinib,0,,rna,ASPH,0.000929811270148658,IntegratedGradients
Erlotinib,0,,rna,LAX1,0.00031962133670433533,IntegratedGradients
Erlotinib,0,,rna,TMBIM1,0.0003787103454861117,IntegratedGradients
Erlotinib,0,,rna,LTA,0.00020601346811500095,IntegratedGradients
Erlotinib,0,,rna,ITGB7,0.000261282511170642,IntegratedGradients
Erlotinib,0,,rna,FNBP1L,0.0003495828223942528,IntegratedGradients
